1612,College of Idaho
1613,Alice Lloyd (Ky.)
1615,Aquinas (Mich.)
1616,Auburn Montgomery (Ala.)
1617,Avila (Mo.)
1618,Azusa Pacific (Calif.)
1619,Bacone (Okla.)
1620,Baker (Kan.)
1622,Belhaven (Miss.)
1623,Bellevue (Neb.)
1624,Benedictine (Kan.)
1625,Berea (Ky.)
1626,Berry College
1627,Bethany Univ CA
1628,Bethany (Kan.)
1629,Bethel (Ind.)
1631,Biola (Calif.)
1632,Bluefield (Va.)
1633,Brescia (Ky.)
1635,Brewton-Parker (Ga.)
1636,Bryan (Tenn.)
1637,Briar Cliff (Iowa)
1638,Cal Baptist University
1640,Calumet (Ind.)
1641,Campbellsville (Ky.)
1642,Cardinal Stritch (Wis.)
1643,Cedarville Univ
1644,Central Christian (Kan.)
1645,Central Methodist (Mo.)
1646,College of the Ozarks (Mo.)
1648,Southwest (N.M.)
1650,Concordia (Calif.)
1651,Concordia (Mich.)
1652,Concordia (Neb.)
1653,Concordia (Ore.)
1655,Culver-Stockton (Mo.)
1656,Cumberlands (Ky.)
1657,Cumberland (Tenn.)
1658,Dakota State (S.D.)
1659,Dakota Wesleyan (S.D.)
1660,Dana College
1661,Dickinson State (N.D.)
1662,Doane (Neb.)
1663,Dordt (Iowa)
1665,Edward Waters (Fla.)
1666,Embry-Riddle (Fla.)
1667,Emmanuel (Ga.)
1668,Evangel (Mo.)
1669,Faulkner (Ala.)
1671,Florida Memorial
1672,Fisher (Mass.)
1673,Freed-Hardeman (Tenn.)
1674,Friends (Kan.)
1676,Georgetown (Ky.)
1678,Goshen (Ind.)
1679,Grace (Ind.)
1680,Graceland (Iowa)
1682,Grand View (Iowa)
1683,Hannibal-LaGrange (Mo.)
1684,Harris-Stowe State (Mo.)
1685,Hastings (Neb.)
1688,Huntington (Ind.)
1691,Huston-Tillotson (Texas)
1692,Indiana Tech
1693,Indiana Univ Northwest
1694,Indiana Wesleyan
1695,Illinois Tech
1696,Indiana Southeast
1697,Iowa Wesleyan
1698,Jarvis Christian College
1699,Jamestown (N.D.)
1701,Judson (Ill.)
1702,Kansas Wesleyan
1705,Lambuth University
1706,Lee (Tenn.)
1707,Lewis-Clark State (Idaho)
1708,Lindenwood University
1709,Loyola (La.)
1710,LSU Shreveport (La.)
1711,Lindsey Wilson (Ky.)
1712,Lubbock Christian (Texas)
1713,Lyon (Ark.)
1715,Madonna (Mich.)
1716,Malone University
1717,Marian (Ind.)
1719,Martin Methodist (Tenn.)
1720,Mayville State (N.D.)
1721,McKendree University
1723,MidAmerica Nazarene (Kan.)
1724,Mid-Continent (Ky.)
1725,Midland (Neb.)
1726,Milligan (Tenn.)
1727,Minot State University
1728,Missouri Baptist
1729,Missouri Valley
1730,Montreat (N.C.)
1731,Morningside (Iowa)
1732,Morris (S.C.)
1733,Mount Marty (S.D.)
1734,Mount Mercy (Iowa)
1735,Ashford (Iowa)
1736,Mount Vernon Nazarene (Ohio)
1738,Nebraska Wesleyan
1740,Northwood (Fla.)
1742,Northwestern (Iowa)
1744,Northwestern Oklahoma State
1745,Northwood (Texas)
1746,Ohio Dominican Univ
1747,Oklahoma Baptist
1748,Oklahoma City
1749,Oklahoma Wesleyan
1750,Olivet Nazarene (Ill.)
1751,Oregon Tech
1752,Ottawa (Kan.)
1753,Park (Mo.)
1755,Peru State (Neb.)
1756,Pikeville (Ky.)
1757,Point Loma Nazarene (Calif.)
1758,Point Park (Pa.)
1760,Purdue North Central (Ind.)
1762,Robert Morris (Ill.)
1763,St. Ambrose (Iowa)
1764,St. Gregory’s (Okla.)
1765,Saint Mary (Kan.)
1766,St. Thomas (Fla.)
1768,Saint Xavier (Ill.)
1769,SCAD Savannah (Ga.)
1771,Shawnee State (Ohio)
1772,Shorter (Ga.)
1773,Siena Heights (Mich.)
1774,Southern Nazarene (Okla.)
1775,Southern Poly (Ga.)
1776,Southern Virginia (Va.)
1777,Southern Wesleyan (S.C.)
1778,SAGU (Texas)
1780,Spring Arbor (Mich.)
1781,Spring Hill (Ala.)
1782,Sterling (Kan.)
1783,Tabor (Kan.)
1784,Taylor (Ind.)
1785,Tennessee Wesleyan
1786,Texas College
1787,Texas Wesleyan
1788,Thomas (Ga.)
1791,Trevecca Nazarene (Tenn.)
1792,Trinity Christian (Ill.)
1793,Trinity International (Ill.)
1795,The Master's (Calif.)
1796,Union (Ky.)
1797,Union (Tenn.)
1798,Science &amp; Arts (Okla.)
1799,British Columbia
1802,Mobile (Ala.)
1803,Rio Grande (Ohio)
1804,St. Francis (Ill.)
1805,Saint Francis (Ind.)
1806,Univ of Sioux Falls
1807,UVa-Wise (Va.)
1809,Valley City State (N.D.)
1810,Vanguard (Calif.)
1811,Virginia Intermont
1812,Viterbo (Wis.)
1813,Voorhees College
1814,Waldorf (Iowa)
1815,Walsh University
1816,Warner (Fla.)
1817,Wayland Baptist (Texas)
1818,Webber International (Fla.)
1819,Corban (Ore.)
1820,Westmont (Calif.)
1821,William Carey (Miss.)
1822,William Jewell College
1823,William Penn (Iowa)
1824,William Woods (Mo.)
1825,Williams Baptist (Ark.)
1826,Wiley (Texas)
1827,York (Neb.)
1828,Bethel (Tenn.)
1831,Reinhardt (Ga.)
1833,Simpson (Calif.)
1834,Fresno Pacific (Calif.)
1835,Notre Dame College
1846,Patten (Calif.)
1847,Rogers State (Okla.)
1848,Texas at Brownsville
1851,Covenant College
1852,Tougaloo (Miss.)
1854,San Diego Christian (Calif.)
1855,Cal State San Marcos
1856,Mid-America Christian (Okla.)
1857,Vermont Tech
1858,West Virginia Tech
8287,Oklahoma Christian
8288,Houston-Victoria (Texas)
8289,Clarke (Iowa)
8290,SUNY at Canton
8291,Asbury (Ky.)
8293,LSU Alexandria (La.)
9099,St. Catharine (Ky.)
9100,Davenport (Mich.)
9101,Menlo (Calif.)
9102,Cincinnati Christian University
9103,Univ ME at Presque Isle
9105,Southeastern (Fla.)
9106,Talladega (Ala.)
9107,South Carolina Beaufort
15387,Ave Maria (Fla.)
15388,Central Baptist (Ark.)
15389,Truett-McConnell (Ga.)
15598,Benedictine-Springfield (Ill.)
15602,La Sierra (Calif.)
15613,Roosevelt (Ill.)
17740,Arizona Christian
17741,Holy Cross (Ind.)
17742,McPherson (Kan.)
17743,Blue Mountain (Miss.)
17744,Northwestern Ohio
18702,Rochester (Mich.)
18705,Point (Ga.)
18709,Houghton (N.Y.)
18711,Lourdes (Ohio)
