1985,1,Don Aase,/players/a/aasedo01.shtml,aasedo01,30,BAL,AL,10,6,.625,3.78,54,0,43,0,0,14,88.0,83,44,37,6,35,7,67,1,1,0,366,107,3.27,1.341,8.5,0.6,3.6,6.9,1.91
1985,2,Johnny Abrego,/players/a/abregjo01.shtml,abregjo01,22,CHC,NL,1,1,.500,6.38,6,5,0,0,0,0,24.0,32,18,17,3,12,1,13,0,0,0,109,63,4.73,1.833,12.0,1.1,4.5,4.9,1.08
1985,3,Jim Acker,/players/a/ackerji01.shtml,ackerji01,26,TOR,AL,7,2,.778,3.23,61,0,26,0,0,10,86.1,86,35,31,7,43,1,42,3,0,2,370,132,4.36,1.494,9.0,0.7,4.5,4.4,0.98
1985,4,Juan Agosto*,/players/a/agostju01.shtml,agostju01,27,CHW,AL,4,3,.571,3.58,54,0,21,0,0,1,60.1,45,27,24,3,23,1,39,3,0,0,246,121,3.33,1.127,6.7,0.4,3.4,5.8,1.70
1985,5,Rick Aguilera,/players/a/aguilri01.shtml,aguilri01,23,NYM,NL,10,7,.588,3.24,21,19,1,2,0,0,122.1,118,49,44,8,37,2,74,2,2,5,507,108,3.28,1.267,8.7,0.6,2.7,5.4,2.00
1985,6,Doyle Alexander,/players/a/alexado01.shtml,alexado01,34,TOR,AL,17,10,.630,3.45,36,36,0,6,1,0,260.2,268,105,100,28,67,0,142,6,0,9,1090,123,3.83,1.285,9.3,1.0,2.3,4.9,2.12
1985,7,Neil Allen,/players/a/allenne01.shtml,allenne01,27,TOT,MLB,2,4,.333,4.17,40,1,23,0,0,3,58.1,58,31,27,4,30,6,26,1,1,3,259,92,4.28,1.509,8.9,0.6,4.6,4.0,0.87
1985,8,Neil Allen,/players/a/allenne01.shtml,allenne01,27,STL,NL,1,4,.200,5.59,23,1,13,0,0,2,29.0,32,22,18,3,17,6,10,1,1,1,135,65,5.20,1.690,9.9,0.9,5.3,3.1,0.59
1985,9,Neil Allen,/players/a/allenne01.shtml,allenne01,27,NYY,AL,1,0,1.000,2.76,17,0,10,0,0,1,29.1,26,9,9,1,13,0,16,0,0,2,124,148,3.37,1.330,8.0,0.3,4.0,4.9,1.23
1985,10,Larry Andersen,/players/a/anderla02.shtml,anderla02,32,PHI,NL,3,3,.500,4.32,57,0,19,0,0,3,73.0,78,41,35,5,26,4,50,3,1,1,318,86,3.40,1.425,9.6,0.6,3.2,6.2,1.92
1985,11,Joaquin Andujar,/players/a/andujjo01.shtml,andujjo01,32,STL,NL,21,12,.636,3.40,38,38,0,10,2,0,269.2,265,113,102,15,82,12,112,11,0,2,1127,105,3.61,1.287,8.8,0.5,2.7,3.7,1.37
1985,12,Mike Armstrong,/players/a/armstmi01.shtml,armstmi01,31,NYY,AL,0,0,,3.07,9,0,8,0,0,0,14.2,9,5,5,4,2,0,11,0,0,1,54,135,5.14,0.750,5.5,2.5,1.2,6.8,5.50
1985,13,Keith Atherton,/players/a/atherke01.shtml,atherke01,26,OAK,AL,4,7,.364,4.30,56,0,21,0,0,3,104.2,89,51,50,17,42,8,77,0,0,2,435,89,4.53,1.252,7.7,1.5,3.6,6.6,1.83
1985,14,Doug Bair,/players/b/bairdo01.shtml,bairdo01,35,TOT,MLB,2,0,1.000,6.00,23,3,5,0,0,0,51.0,55,38,34,3,27,5,30,1,1,6,232,68,3.92,1.608,9.7,0.5,4.8,5.3,1.11
1985,15,Doug Bair,/players/b/bairdo01.shtml,bairdo01,35,DET,AL,2,0,1.000,6.24,21,3,4,0,0,0,49.0,54,38,34,3,25,5,30,1,1,6,224,66,3.85,1.612,9.9,0.6,4.6,5.5,1.20
1985,16,Doug Bair,/players/b/bairdo01.shtml,bairdo01,35,STL,NL,0,0,,0.00,2,0,1,0,0,0,2.0,1,0,0,0,2,0,0,0,0,0,8,,5.68,1.500,4.5,0.0,9.0,0.0,0.00
1985,17,Jay Baller,/players/b/balleja01.shtml,balleja01,24,CHC,NL,2,3,.400,3.46,20,4,4,0,0,1,52.0,52,21,20,8,17,7,31,1,0,2,223,115,4.53,1.327,9.0,1.4,2.9,5.4,1.82
