2000,1,Paul Abbott,/players/a/abbotpa01.shtml,abbotpa01,32,SEA,AL,9,7,.563,4.22,35,27,2,0,0,0,179.0,164,89,84,23,80,4,100,5,0,3,766,109,5.11,1.363,8.2,1.2,4.0,5.0,1.25
2000,2,Juan Acevedo,/players/a/aceveju01.shtml,aceveju01,30,MIL,NL,3,7,.300,3.81,62,0,18,0,0,0,82.2,77,38,35,11,31,9,51,1,2,3,347,120,4.79,1.306,8.4,1.2,3.4,5.6,1.65
2000,3,Terry Adams,/players/a/adamste01.shtml,adamste01,27,LAD,NL,6,9,.400,3.52,66,0,18,0,0,2,84.1,80,42,33,6,39,0,56,0,0,5,369,123,4.12,1.411,8.5,0.6,4.2,6.0,1.44
2000,4,Rick Aguilera,/players/a/aguilri01.shtml,aguilri01,38,CHC,NL,1,2,.333,4.91,54,0,44,0,0,29,47.2,47,28,26,11,18,2,38,4,0,1,210,93,5.92,1.364,8.9,2.1,3.4,7.2,2.11
2000,5,Scott Aldred*,/players/a/aldresc01.shtml,aldresc01,32,PHI,NL,1,3,.250,5.75,23,0,5,0,0,0,20.1,23,14,13,3,10,0,21,1,0,1,95,83,4.61,1.623,10.2,1.3,4.4,9.3,2.10
2000,6,Antonio Alfonseca,/players/a/alfonan01.shtml,alfonan01,28,FLA,NL,5,6,.455,4.24,68,0,62,0,0,45,70.0,82,35,33,7,24,3,47,1,2,0,311,104,4.16,1.514,10.5,0.9,3.1,6.0,1.96
2000,7,Armando Almanza*,/players/a/almanar01.shtml,almanar01,27,FLA,NL,4,2,.667,4.86,67,0,8,0,0,0,46.1,38,27,25,3,43,6,46,2,0,1,216,91,4.90,1.748,7.4,0.6,8.4,8.9,1.07
2000,8,Carlos Almanzar,/players/a/almanca01.shtml,almanca01,26,SDP,NL,4,5,.444,4.39,62,0,11,0,0,0,69.2,73,35,34,12,25,2,56,4,0,2,308,98,5.01,1.407,9.4,1.6,3.2,7.2,2.24
2000,9,Juan Alvarez*,/players/a/alvarju01.shtml,alvarju01,26,ANA,AL,0,0,,13.50,11,0,3,0,0,0,6.0,14,9,9,3,7,1,2,0,0,1,38,39,12.47,3.500,21.0,4.5,10.5,3.0,0.29
2000,10,Brian Anderson*,/players/a/anderbr02.shtml,anderbr02,28,ARI,NL,11,7,.611,4.05,33,32,0,2,0,0,213.1,226,101,96,38,39,7,104,3,4,1,876,118,5.07,1.242,9.5,1.6,1.6,4.4,2.67
2000,11,Jimmy Anderson*,/players/a/anderji02.shtml,anderji02,24,PIT,NL,5,11,.313,5.25,27,26,0,1,0,0,144.0,169,94,84,13,58,2,73,7,0,6,648,89,4.65,1.576,10.6,0.8,3.6,4.6,1.26
2000,12,Matt Anderson,/players/a/anderma01.shtml,anderma01,23,DET,AL,3,2,.600,4.72,69,0,27,0,0,1,74.1,61,44,39,8,45,4,71,3,0,4,324,99,4.56,1.426,7.4,1.0,5.4,8.6,1.58
2000,13,Clayton Andrews*,/players/a/andrecl01.shtml,andrecl01,22,TOR,AL,1,2,.333,10.02,8,2,1,0,0,0,20.2,34,23,23,6,9,0,12,0,1,0,102,51,7.05,2.081,14.8,2.6,3.9,5.2,1.33
2000,14,Rick Ankiel*,/players/a/ankieri01.shtml,ankieri01,20,STL,NL,11,7,.611,3.50,31,30,0,0,0,0,175.0,137,80,68,21,90,2,194,6,2,12,735,134,4.12,1.297,7.0,1.1,4.6,10.0,2.16
2000,15,Kevin Appier,/players/a/appieke01.shtml,appieke01,32,OAK,AL,15,11,.577,4.52,31,31,0,1,1,0,195.1,200,109,98,23,102,10,129,9,0,6,884,104,5.05,1.546,9.2,1.1,4.7,5.9,1.26
2000,16,Tony Armas,/players/a/armasto02.shtml,armasto02,22,MON,NL,7,9,.438,4.36,17,17,0,0,0,0,95.0,74,49,46,10,50,2,59,3,0,3,403,111,4.93,1.305,7.0,0.9,4.7,5.6,1.18
2000,17,Jamie Arnold,/players/a/arnolja01.shtml,arnolja01,26,TOT,NL,0,3,.000,6.18,14,4,5,0,0,1,39.1,38,31,27,1,24,0,16,4,0,2,181,74,4.79,1.576,8.7,0.2,5.5,3.7,0.67
2000,18,Jamie Arnold,/players/a/arnolja01.shtml,arnolja01,26,LAD,NL,0,0,,4.05,2,0,2,0,0,0,6.2,4,3,3,0,5,0,3,1,0,1,30,112,4.93,1.350,5.4,0.0,6.8,4.1,0.60
2000,19,Jamie Arnold,/players/a/arnolja01.shtml,arnolja01,26,CHC,NL,0,3,.000,6.61,12,4,3,0,0,1,32.2,34,28,24,1,19,0,13,3,0,1,151,69,4.76,1.622,9.4,0.3,5.2,3.6,0.68
